date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:06	83213/83213	---M--	200	added ('OK')	image/jpeg	etag:%221450d-5d3f06ca%22	http://www.newbird.co.kr/nbadm/data/uploads/f2fda09dfb072186a7edbbbee77a82b61564411594_96869.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/f2fda09dfb072186a7edbbbee77a82b61564411594_96869.jpg	(from http://www.newbird.co.kr/)
11:44:07	11858/11858	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:44:08%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=82	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/viewf497.html	(from http://www.newbird.co.kr/)
11:44:21	157964/157964	---M--	200	added ('OK')	image/jpeg	etag:%222690c-5d18e440%22	http://www.newbird.co.kr/nbadm/data/uploads/f3f0a7f5f58961864ac81ae42fdd5c881561912384_47717.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/f3f0a7f5f58961864ac81ae42fdd5c881561912384_47717.jpg	(from http://www.newbird.co.kr/)
11:44:22	135317/135317	---M--	200	added ('OK')	image/jpeg	etag:%2221095-5d386875%22	http://www.newbird.co.kr/nbadm/data/uploads/8b42d0b48a946e63c0c1ca2736df5c561563977845_38212.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/8b42d0b48a946e63c0c1ca2736df5c561563977845_38212.jpg	(from http://www.newbird.co.kr/)
11:44:23	11663/11663	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:44:23%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=88	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/view0aef.html	(from http://www.newbird.co.kr/)
11:44:24	11945/11945	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20May%202020%2002:44:25%20GMT	http://www.newbird.co.kr/portfolio/view.html?idx=91	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/portfolio/viewcc3d.html	(from http://www.newbird.co.kr/)
11:44:34	167931/167931	---M--	200	added ('OK')	image/jpeg	etag:%2228ffb-5d3b1282%22	http://www.newbird.co.kr/nbadm/data/uploads/f99e782c889fdf452dd9fcf8cd3601d41564152450_58936.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/f99e782c889fdf452dd9fcf8cd3601d41564152450_58936.jpg	(from http://www.newbird.co.kr/)
11:44:43	130063/130063	---M--	200	added ('OK')	image/jpeg	etag:%221fc0f-5d3e569f%22	http://www.newbird.co.kr/nbadm/data/uploads/7781e99e92e29dddf7fa75cffb25a2641564366495_52691.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/7781e99e92e29dddf7fa75cffb25a2641564366495_52691.jpg	(from http://www.newbird.co.kr/)
11:45:54	2753190/2753190	---M--	200	added ('OK')	image/png	etag:%222a02a6-5e2e8482%22	http://www.newbird.co.kr/nbadm/data/uploads/6d5dd0e3ac7f95333a1aa661369f58911580106882_85168.png	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/6d5dd0e3ac7f95333a1aa661369f58911580106882_85168.png	(from http://www.newbird.co.kr/)
11:46:11	668766/668766	---M--	200	added ('OK')	image/jpeg	etag:%22a345e-5d14b74b%22	http://www.newbird.co.kr/nbadm/data/uploads/235a5bda2d33e471eb202a7cab9c32951561638731_19166.jpg	C:/Users/vnddn/Desktop/PORTFOFOFO/www.newbird.co.kr/nbadm/data/uploads/235a5bda2d33e471eb202a7cab9c32951561638731_19166.jpg	(from http://www.newbird.co.kr/)
